,player,pos,age,team_id,g,gs,mp,fg_per_mp,fga_per_mp,fg_pct,fg3_per_mp,fg3a_per_mp,fg3_pct,fg2_per_mp,fg2a_per_mp,fg2_pct,ft_per_mp,fta_per_mp,ft_pct,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp
502,Tremont Waters,PG,22,BOS,11,1,119,4.2,14.8,.286,1.2,7.3,.167,3.0,7.6,.400,2.4,2.4,1.000,0.0,3.6,3.6,4.8,3.0,0.6,4.5,3.9,12.1
503,Paul Watson,SF,25,TOT,10,0,87,4.1,10.8,.385,1.7,5.0,.333,2.5,5.8,.429,2.9,3.7,.778,0.8,6.2,7.0,3.3,1.7,0.4,1.2,2.1,12.8
504,Quinndary Weatherspoon,SG,23,SAS,11,0,78,2.3,7.8,.294,0.5,2.3,.200,1.8,5.5,.333,0.5,0.9,.500,0.5,2.8,3.2,5.1,1.4,0.5,2.3,3.7,5.5
505,Russell Westbrook,PG,31,HOU,57,57,2049,10.6,22.5,.472,1.0,3.7,.258,9.6,18.8,.514,5.1,6.7,.763,1.8,6.2,7.9,7.0,1.6,0.4,4.5,3.5,27.3
506,Coby White,PG,19,CHI,65,1,1674,6.7,17.0,.394,2.9,8.1,.354,3.8,8.9,.430,2.2,2.8,.791,0.6,4.3,4.9,3.8,1.1,0.1,2.3,2.5,18.5
507,Derrick White,SG,25,SAS,68,20,1677,5.4,11.8,.458,1.7,4.6,.366,3.7,7.2,.518,3.9,4.5,.853,0.8,4.0,4.8,5.2,0.9,1.3,1.9,3.3,16.4
508,Hassan Whiteside,C,30,POR,67,61,2008,7.8,12.6,.621,0.1,0.1,.571,7.7,12.5,.622,2.9,4.3,.686,4.6,11.6,16.2,1.4,0.5,3.5,2.2,3.5,18.6
509,Andrew Wiggins,SF,24,TOT,54,54,1858,8.5,18.9,.447,2.2,6.5,.332,6.3,12.5,.506,3.7,5.2,.709,1.3,4.0,5.3,3.8,0.9,1.0,2.6,2.5,22.8
510,Grant Williams,PF,21,BOS,69,5,1043,3.0,7.3,.412,0.8,3.3,.250,2.2,4.0,.548,1.3,1.9,.722,2.0,4.1,6.1,2.3,1.0,1.2,1.7,5.6,8.2
511,Johnathan Williams,PF,24,WAS,15,6,180,3.8,6.8,.559,0.0,0.4,.000,3.8,6.4,.594,1.4,2.6,.538,4.8,8.0,12.8,1.6,0.2,1.6,1.0,3.2,9.0
512,Kenrich Williams,PF,25,NOP,39,18,832,2.2,6.4,.347,1.1,4.2,.258,1.1,2.2,.520,0.4,1.1,.346,2.2,5.8,8.0,2.5,1.2,0.9,1.0,3.8,5.9
513,Lou Williams,PG,33,LAC,65,8,1864,7.6,18.1,.418,2.1,6.1,.352,5.4,12.0,.451,5.6,6.5,.861,0.6,3.3,3.9,7.0,0.8,0.2,3.5,1.5,22.9
