,player,pos,age,team_id,g,gs,mp,fg_per_mp,fga_per_mp,fg_pct,fg3_per_mp,fg3a_per_mp,fg3_pct,fg2_per_mp,fg2a_per_mp,fg2_pct,ft_per_mp,fta_per_mp,ft_pct,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp
159,De'Aaron Fox,PG,22,SAC,51,49,1634,8.6,18.0,.480,1.2,4.1,.292,7.4,13.9,.535,5.3,7.5,.705,0.8,3.5,4.3,7.7,1.6,0.6,3.5,3.2,23.7
160,Melvin Frazier,SG,23,ORL,19,0,126,4.3,9.7,.441,2.3,4.6,.500,2.0,5.1,.389,0.6,1.1,.500,0.6,2.3,2.9,0.9,2.6,0.6,1.4,3.1,11.4
161,Michael Frazier,SG,25,HOU,13,0,145,1.7,7.2,.241,1.0,5.7,.174,0.7,1.5,.500,2.2,3.5,.643,0.2,2.2,2.5,0.5,0.5,0.0,1.2,5.5,6.7
162,Tim Frazier,PG,29,DET,27,11,355,3.4,9.5,.362,1.0,3.0,.333,2.4,6.5,.375,1.9,2.4,.792,0.9,2.4,3.3,9.4,1.4,0.4,3.7,4.3,9.8
163,Markelle Fultz,PG,21,ORL,72,60,1996,6.5,13.9,.465,0.6,2.4,.267,5.8,11.5,.507,2.1,2.9,.730,0.7,3.6,4.3,6.7,1.6,0.2,2.7,2.6,15.7
164,Wenyen Gabriel,PF,22,TOT,30,1,235,3.2,7.4,.438,0.9,3.1,.300,2.3,4.3,.536,2.3,3.4,.682,3.2,4.7,8.0,1.2,1.7,1.1,2.5,6.0,9.7
165,Daniel Gafford,C,21,CHI,43,7,609,5.6,7.9,.701,0.0,0.0,,5.6,7.9,.701,1.9,3.5,.533,3.1,3.2,6.3,1.2,0.8,3.3,1.7,5.8,13.0
166,Danilo Gallinari,PF,31,OKC,62,62,1834,7.0,16.0,.438,3.5,8.6,.405,3.5,7.4,.476,5.2,5.8,.893,0.7,5.7,6.3,2.3,0.8,0.1,1.5,1.5,22.8
167,Langston Galloway,SG,28,DET,66,6,1702,5.0,11.5,.435,2.8,7.0,.399,2.2,4.5,.493,1.5,1.8,.859,0.7,2.5,3.2,2.1,1.0,0.2,0.8,2.0,14.3
168,Darius Garland,SG,20,CLE,59,59,1824,5.5,13.8,.401,2.1,5.8,.355,3.5,8.0,.434,1.2,1.4,.875,0.5,1.7,2.2,4.5,0.8,0.1,3.0,1.8,14.4
169,Marc Gasol,C,35,TOR,44,43,1161,3.7,8.7,.427,1.8,4.6,.385,1.9,4.1,.473,1.1,1.5,.735,1.0,7.6,8.5,4.6,1.1,1.2,1.8,3.8,10.3
170,Rudy Gay,PF,33,SAS,67,5,1461,6.6,14.7,.446,1.8,5.4,.336,4.7,9.3,.511,3.0,3.4,.882,1.5,7.4,8.9,2.8,0.9,0.8,2.2,2.5,17.9
171,Paul George,SF,29,LAC,48,48,1419,8.7,19.8,.439,4.0,9.7,.412,4.7,10.2,.464,4.8,5.5,.876,0.6,6.3,6.9,4.7,1.7,0.5,3.2,2.9,26.2
