,player,pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
37,Rodrigue Beaubois,PG,21,DAL,56,16,700,11.5,22.2,.518,3.3,8.2,.409,8.2,14.0,.582,3.1,3.9,.808,0.9,4.9,5.8,5.5,2.1,0.9,4.0,6.2,29.4,,111,107
38,Marco Belinelli,SG,23,TOR,66,1,1121,7.1,17.4,.406,2.8,7.3,.380,4.3,10.2,.425,4.6,5.6,.835,0.6,3.7,4.4,4.1,1.9,0.2,2.8,3.7,21.6,,106,114
39,Charlie Bell,SG,30,MIL,71,39,1611,5.5,14.4,.381,2.4,6.5,.365,3.1,7.9,.395,1.6,2.2,.716,1.0,3.3,4.3,3.4,1.3,0.4,1.8,4.4,14.9,,100,106
40,Raja Bell,SG,33,TOT,6,5,180,8.1,17.8,.459,3.5,7.9,.444,4.7,9.9,.471,0.9,0.9,1.000,1.5,5.2,6.7,3.8,1.2,0.6,1.5,4.4,20.7,,116,107
41,Jonathan Bender,SF,29,NYK,25,1,292,7.0,17.5,.400,2.4,6.8,.359,4.5,10.7,.426,4.2,4.5,.923,2.6,6.5,9.1,2.8,0.3,3.0,4.9,5.8,20.6,,94,112
42,Mike Bibby,PG,31,ATL,80,80,2195,6.5,15.6,.416,3.1,7.9,.389,3.4,7.8,.444,1.7,1.9,.861,0.5,4.0,4.5,7.5,1.6,0.1,2.2,3.8,17.7,,113,110
43,Andris Biedriņš,C,23,GSW,33,29,763,5.1,8.6,.591,0.0,0.0,,5.1,8.6,.591,0.3,1.6,.160,3.9,12.3,16.2,3.6,1.3,2.8,2.0,7.3,10.4,,113,107
44,Chauncey Billups,PG,33,DEN,73,73,2490,8.2,19.6,.418,3.2,8.3,.386,5.0,11.3,.441,9.5,10.4,.910,0.5,4.1,4.6,8.3,1.7,0.2,3.6,3.1,29.0,,120,110
45,DeJuan Blair,PF,20,SAS,82,23,1494,9.6,17.3,.556,0.0,0.1,.000,9.6,17.3,.558,3.1,5.6,.547,7.0,11.4,18.4,2.3,1.8,1.4,3.9,7.9,22.4,,108,101
46,Steve Blake,PG,29,TOT,80,38,2159,5.4,13.0,.416,2.9,7.3,.395,2.5,5.7,.443,0.9,1.2,.750,0.5,4.1,4.6,9.4,1.4,0.1,3.2,3.1,14.6,,108,111
47,Andray Blatche,PF,23,WAS,81,36,2256,11.1,23.2,.478,0.3,1.0,.295,10.8,22.2,.487,4.0,5.4,.744,3.7,8.1,11.8,3.9,2.0,1.6,4.2,5.1,26.5,,101,106
